X,Y,id,@id,building,layer,name,addr:housename,heritage,heritage:operator,historic,ref:nrhp,tourism,wikidata,addr:housenumber,addr:street,alt_name,office,old_name,addr:city,addr:postcode,addr:state,amenity,cuisine,takeaway,delivery,opening_hours,outdoor_seating,smoking,website,man_made,building:levels,operator,addr:country,parking,source,addr:unit,entrance,access,female,male
-75.1882121,39.89524285,way/74661374,way/74661374,yes,1,Building 603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1899763018376,39.8901423531608,way/74661375,way/74661375,yes,,Building AK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1888027390964,39.8883535157139,way/74661377,way/74661377,yes,,Building AK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1887256,39.88710045,way/74661378,way/74661378,yes,,Building AK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1811098,39.896636,way/74661382,way/74661382,yes,,Building 542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1845894,39.8959873,way/74661383,way/74661383,yes,,Building 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1847983,39.89660375,way/74661384,way/74661384,yes,,Building 694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.18860135,39.8958565,way/74661385,way/74661385,yes,1,Building 763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1748067113395,39.8958140661532,way/74661390,way/74661390,yes,,,One Crescent Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1770450209629,39.8967558848105,way/89434182,way/89434182,yes,,Commandant's Quarters,,2,nrhp,building,76001661,attraction,Q5152133,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17516875,39.88945745,way/127726573,way/127726573,yes,,U.S. Navy Bldg 4,U.S. Navy Bldg 4,,,,,,,5001,S Broad St,Naval Surface Warfare Center Bldg 4,government,Building 4,,,,,,,,,,,,,,,,,,,,,,
-75.1776410779836,39.890042849548,way/135537713,way/135537713,yes,,DiNic's S,Building 830,,,,,,,15,Kitty Hawk Avenue,,,,Philadelphia,19112,PA,restaurant,sandwich,yes,,,,,,,,,,,,,,,,
-75.1772743200202,39.890180845253,way/135537714,way/135537714,yes,,Mercer Cafe,Building 623,,,,,,,4920,S. 15th St.,,,,,,,restaurant,"breakfast,_burgers,_pizza",yes,yes,Mo-Fr 07:00-16:00,yes,outside,http://mercercafephilly.com/,,,,,,,,,,,
-75.193970900473,39.8974788020323,way/142789900,way/142789900,yes,,Tastykake Factory,,,,,,,,4300,S 26th,,,,,,,,,,,,,,,works,,,,,,,,,,
-75.1740409669014,39.8959837609306,way/195239751,way/195239751,office,,Three Crescent Drive,Three Crescent Drive,,,,,,,3,Crescent Drive,,,,,19112,,,,,,,,,,,,,,,,,,,,
-75.1780838792571,39.8879633999618,way/295294985,way/295294985,commercial,,Urban Outfitters Building 543,Building 543,,,,,,,5100,South 16th Street,,,,,,,,,,,,,,,,4,,,,,,,,,
-75.172331367052,39.8950543735224,way/295838670,way/295838670,commercial,,One Kew Place,150 Rouse,,,,,,,150,Rouse Boulevard,,,,Philadelphia,19112,,,,,,,,,,,,,,,,,,,,
-75.1712543048666,39.8941904375218,way/366339006,way/366339006,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1723825430867,39.8912046601312,way/367791453,way/367791453,office,,Vincera Institute,Building 489,,,,,,,1200,Constitution Ave,,,,Philadelphia,19112,,,,,,,,,,,,,,,,,,,,
-75.17239615,39.8906692,way/367791454,way/367791454,yes,,Building 661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1720497112168,39.8954268831625,way/367807696,way/367807696,yes,,Courtyard Philadelphia South at The Navy Yard,,,,,,hotel,,1001,Intrepid Avenue,,,,Philadelphia,19112,PA,,,,,,,,,,,Marriott,,,,,,,,
-75.1760271480397,39.8967112500604,way/368167176,way/368167176,yes,,Building 501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1712078038068,39.8905891370459,way/404377939,way/404377939,yes,,Penn State University At The Navy Yard,Building 7R,,,,,,,1101,Kitty Hawk Avenue,,,,Philadelphia,19112,PA,,,,,,,,https://navyyard.psu.edu/,,,,,,,,,,,
-75.1722053547546,39.8920125610006,way/404378901,way/404378901,yes,,Four Chaplains Memorial Foundation,Building 649,,,,,,,1201,Constitution Avenue,,,,Philadelphia,19112,PA,,,,,,,,http://www.fourchaplains.org/,,1,,,,,,,,,
-75.1725004622112,39.8938617467904,way/422720596,way/422720596,office,,1200 Intrepid,,,,,,,,1200,Intrepid Avenue,,,,Philadelphia,19112,PA,,,,,,,,,,4,,US,,,,,,,
-75.1783132773792,39.8905938497953,way/428152406,way/428152406,yes,,Building 567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1785281027621,39.8909563000291,way/428152407,way/428152407,yes,,Building 712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1710030935281,39.8948622999912,way/451901225,way/451901225,yes,,,201 Rouse,,,,,,,201,Rouse,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1764252119253,39.898117274094,way/454318168,way/454318168,yes,,Building 753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17795045,39.90014385,way/454318169,way/454318169,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1773391951036,39.9005234498545,way/454318171,way/454318171,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.181318,39.8990117,way/454318177,way/454318177,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1809936509499,39.8991576498634,way/454318200,way/454318200,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1789699397454,39.8882084993711,way/498593277,way/498593277,yes,,Building 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1794329461,39.8883359500388,way/498593278,way/498593278,yes,,Building 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.185854016457,39.8884381611104,way/498593279,way/498593279,yes,,Building 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1799998850858,39.8885585561606,way/498593280,way/498593280,yes,,Building 591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17768685,39.88909065,way/498593281,way/498593281,yes,,Building 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17611945,39.8893785,way/498593282,way/498593282,yes,,Building 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17719465,39.8892985,way/498593283,way/498593283,yes,,Building 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.17668505,39.8892648,way/498593284,way/498593284,yes,,Building 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1783654759498,39.8890438737271,way/498593285,way/498593285,yes,,Building 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1733526915785,39.896515584074,way/569685326,way/569685326,yes,,,Five Crescent Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1718861,39.8896884,way/607473251,way/607473251,yes,,Building 624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
