id,name,lat,lon
0,Building 603,39.89524285,-75.1882121
1,Building AK1,39.89014235,-75.1899763
2,Building AK2,39.88835352,-75.18880274
3,Building AK3,39.88710045,-75.1887256
4,Building 542,39.896636,-75.1811098
5,Building 120,39.8959873,-75.1845894
6,Building 694,39.89660375,-75.1847983
7,Building 763,39.8958565,-75.18860135
8,Commandant's Quarters,39.89675588,-75.17704502
9,U.S. Navy Bldg 4,39.88945745,-75.17516875
10,DiNic's S,39.89004285,-75.17764108
11,Mercer Cafe,39.89018085,-75.17727432
12,Tastykake Factory,39.8974788,-75.1939709
13,Three Crescent Drive,39.89598376,-75.17404097
14,Urban Outfitters Building 543,39.8879634,-75.17808388
15,One Kew Place,39.89505437,-75.17233137
16,Vincera Institute,39.89120466,-75.17238254
17,Building 661,39.8906692,-75.17239615
18,Courtyard Philadelphia South at The Navy Yard,39.89542688,-75.17204971
19,Building 501,39.89671125,-75.17602715
20,Penn State University At The Navy Yard,39.89058914,-75.1712078
21,Four Chaplains Memorial Foundation,39.89201256,-75.17220535
22,1200 Intrepid,39.89386175,-75.17250046
23,Building 567,39.89059385,-75.17831328
24,Building 712,39.8909563,-75.1785281
25,Building 753,39.89811727,-75.17642521
26,Building 16,39.8882085,-75.17896994
27,Building 18,39.88833595,-75.17943295
28,Building 57,39.88843816,-75.18585402
29,Building 591,39.88855856,-75.17999989
30,Building 12,39.88909065,-75.17768685
31,Building 10,39.8893785,-75.17611945
32,Building 7,39.8892985,-75.17719465
33,Building 11,39.8892648,-75.17668505
34,Building 15,39.88904387,-75.17836548
35,Building 624,39.8896884,-75.1718861
36,Building 611,39.88839936,-75.17155441
37,Building 83,39.8909237,-75.1732542
38,Building 778,39.89471064,-75.17257737
39,Building 17,39.8901235,-75.17970615
40,Building 139,39.8871844,-75.17759613
41,Building 21,39.88730027,-75.18036856
42,Building 14,39.89018923,-75.17834229
43,Building 22,39.88760293,-75.17980912
44,Building 634,39.88652529,-75.18506359
45,Building 19,39.8901347,-75.17909495
46,Building 669,39.88777775,-75.1804183
47,Building 895,39.8964353,-75.19081265
48,Building 994,39.88723945,-75.18449039
49,Building 772,39.896206,-75.1892555
50,Building 897,39.89697365,-75.1913463
51,Building 733,39.88574295,-75.19129303
52,Building 95,39.8885754,-75.18754418
53,Building 673,39.8915107,-75.18694955
54,Building 804,39.8925087,-75.19103411
55,Building 1082,39.89235277,-75.18745736
56,Building 1004,39.89195575,-75.18890505
57,Building 1081,39.892241,-75.18680628
58,Building 94,39.8886161,-75.18694735
59,Building 738,39.89232815,-75.19133965
60,Building 1028,39.8920292,-75.19016099
61,Building 894,39.8968365,-75.19158631
62,Building 1020,39.8909581,-75.19232075
63,Building 739,39.89201605,-75.19175015
64,Building 606,39.89188535,-75.18846088
65,Building 620,39.88715365,-75.19146133
66,Building 573,39.886801,-75.1844513
67,Building 571,39.88687795,-75.18444235
68,Building 646,39.8927816,-75.18858666
69,Building 546,39.8879585,-75.18193491
70,Building 920,39.89038715,-75.18522275
71,Building 68,39.8898649,-75.18567092
72,Building 990,39.89003897,-75.18678083
73,Building 20,39.8902734,-75.18193851
74,Bldg 1000,39.88811713,-75.18260112
75,Building 568,39.89045035,-75.18578608
76,Building 602,39.89000885,-75.18566858
77,Building 23,39.89022226,-75.18575062
78,Building 93,39.89123225,-75.18098027
79,Building 592,39.89030395,-75.1842767
80,Building 754,39.8901692,-75.18624215
81,Building 1029,39.89070705,-75.18211624
82,Building 69,39.88982685,-75.18609835
83,Building 121,39.89038705,-75.18026
84,Building 520,39.89271635,-75.17774854
85,Building 6,39.89064442,-75.17674699
86,Building 531,39.89310825,-75.178456
87,Building 545,39.8933915,-75.17897833
88,Building 418W,39.8916499,-75.17740007
89,Building 29,39.89351245,-75.17744399
90,Building 605,39.89182605,-75.17692695
91,Building 643,39.89127465,-75.17968761
92,Building 745,39.8925039,-75.17845952
93,Building 662,39.8929209,-75.1769082
94,Building 824,39.89209996,-75.17888682
95,Building 44,39.89145965,-75.17701105
96,Building 633,39.89210952,-75.17807386
97,Building 645,39.89689785,-75.18262795
98,Building 615,39.89168936,-75.17654375
99,Building 574,39.8872194,-75.17686535
100,Building 25,39.88806135,-75.17655355
101,Building 3,39.8881514,-75.17606425
102,Building M-4,39.89524975,-75.17549596
103,Building 40,39.8907742,-75.1753451
104,Building 100,39.8921346,-75.1744192
105,Building 626,39.89107046,-75.1756737
106,Building M-5 & 6,39.8949604,-75.17556413
107,Building 56,39.8904215,-75.17423803
108,Building C,39.88784287,-75.17375464
109,Building M-2,39.8958014,-75.1753768
110,Building 99,39.8918339,-75.17359115
111,Building 500,39.8966346,-75.1754058
112,Building L,39.88763065,-75.17248311
113,Building 1032,39.89122575,-75.17573555
114,Building M-7,39.89424735,-75.17520446
115,Building 76,39.8901799,-75.16918197
116,Building 101,39.89316195,-75.17445234
117,Building M-3,39.89551835,-75.1754389
118,Building 640,39.89245159,-75.17169764
119,Building B,39.88785487,-75.17411959
120,Building 1,39.890295,-75.17524973
121,Building 122,39.8880469,-75.17397862
122,Building 651,39.8925963,-75.17128628
123,Building N,39.8874375,-75.17155764
124,Building K,39.88773405,-75.17293239
125,Building 679,39.890687,-75.1756515
126,Building O,39.88746865,-75.17105937
127,Building P,39.88752074,-75.17055429
128,Building 26,39.88820199,-75.17525826
129,Building 796,39.8930273,-75.173665
130,Building M,39.88753015,-75.17201107
131,Building M-1,39.89433683,-75.17566288
132,Building 82,39.8888476,-75.17042597
